what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1367079614009
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1367079614009
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1367079614010
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1367079614010
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1367079614011
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1367079614011
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1367079614012
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1367079614013
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1367079614014
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1367079614015
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1367079614016
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1367079614016
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1367079614017
started,bundle,org.eclipse.egit.core,0.11.1,"org.eclipse.egit.core",1367079614018
started,bundle,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui",1367079614019
started,bundle,org.eclipse.jgit,0.11.1,"org.eclipse.jgit",1367079614019
os,sysinfo,,,"linux",1367079614023
arch,sysinfo,,,"x86_64",1367079614023
ws,sysinfo,,,"gtk",1367079614023
locale,sysinfo,,,"en_US",1367079614023
processors,sysinfo,,,"8",1367079614023
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1367079614023
java.runtime.version,sysinfo,,,"1.6.0_18-b18",1367079614023
java.specification.name,sysinfo,,,"Java Platform API Specification",1367079614023
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1367079614023
java.specification.version,sysinfo,,,"1.6",1367079614023
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1367079614023
java.version,sysinfo,,,"1.6.0_18",1367079614023
java.vm.info,sysinfo,,,"mixed mode",1367079614023
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1367079614023
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1367079614023
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1367079614023
java.vm.specification.version,sysinfo,,,"1.0",1367079614023
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1367079614023
java.vm.version,sysinfo,,,"14.0-b16",1367079614023
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367079618075
executed,command,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui.targetBuildCommand",1367079622164
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367079622187
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367079622271
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367079623574
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1367079634552
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1367079634574
